Vg,gate_length,tox,sides,trap,work_function,Id
1.3861478,7,4,3,0,4.9,7.36E-06
1.4861478,7,4,3,0,4.9,7.73E-06
1.5861478,7,4,3,0,4.9,7.94E-06
1.6861478,7,4,3,0,4.9,8.07E-06
1.7861478,7,4,3,0,4.9,8.16E-06
1.8861478,7,4,3,0,4.9,8.22E-06
1.9861478,7,4,3,0,4.9,8.26E-06
2,7,4,3,0,4.9,8.26E-06
0,9,5,3,0,4.3,4.14E-09
0.02,9,5,3,0,4.3,7.74E-09
0.046666667,9,5,3,0,4.3,1.74E-08
0.084,9,5,3,0,4.3,5.09E-08
0.13626667,9,5,3,0,4.3,1.88E-07
0.20944,9,5,3,0,4.3,6.65E-07
0.30944,9,5,3,0,4.3,1.49E-06
0.40944,9,5,3,0,4.3,2.54E-06
0.50944,9,5,3,0,4.3,3.79E-06
0.60944,9,5,3,0,4.3,5.09E-06
0.70944,9,5,3,0,4.3,6.23E-06
0.80944,9,5,3,0,4.3,7.04E-06
0.90944,9,5,3,0,4.3,7.53E-06
1.00944,9,5,3,0,4.3,7.82E-06
1.10944,9,5,3,0,4.3,7.99E-06
1.20944,9,5,3,0,4.3,8.10E-06
1.30944,9,5,3,0,4.3,8.18E-06
1.40944,9,5,3,0,4.3,8.23E-06
1.50944,9,5,3,0,4.3,8.26E-06
1.60944,9,5,3,0,4.3,8.29E-06
1.70944,9,5,3,0,4.3,8.31E-06
1.80944,9,5,3,0,4.3,8.32E-06
1.90944,9,5,3,0,4.3,8.32E-06
1.95472,9,5,3,0,4.3,8.32E-06
2,9,5,3,0,4.3,8.32E-06
0,9,5,3,0,4.5,5.63E-12
0.02,9,5,3,0,4.5,1.11E-11
0.047333333,9,5,3,0,4.5,2.79E-11
0.086511111,9,5,3,0,4.5,1.03E-10
0.14266593,9,5,3,0,4.5,6.58E-10
0.22128267,9,5,3,0,4.5,8.05E-09
0.32128267,9,5,3,0,4.5,1.33E-07
0.42128267,9,5,3,0,4.5,7.56E-07
0.52128267,9,5,3,0,4.5,1.60E-06
0.62128267,9,5,3,0,4.5,2.68E-06
0.72128267,9,5,3,0,4.5,3.94E-06
0.82128267,9,5,3,0,4.5,5.24E-06
0.92128267,9,5,3,0,4.5,6.35E-06
1.0212827,9,5,3,0,4.5,7.12E-06
1.1212827,9,5,3,0,4.5,7.58E-06
1.2212827,9,5,3,0,4.5,7.84E-06
1.3212827,9,5,3,0,4.5,8.00E-06
1.4212827,9,5,3,0,4.5,8.11E-06
1.5212827,9,5,3,0,4.5,8.18E-06
1.6212827,9,5,3,0,4.5,8.23E-06
1.7212827,9,5,3,0,4.5,8.27E-06
1.8212827,9,5,3,0,4.5,8.29E-06
1.9212827,9,5,3,0,4.5,8.31E-06
2,9,5,3,0,4.5,8.32E-06
0,9,5,3,0,4.7,5.71E-15
0.02,9,5,3,0,4.7,1.15E-14
0.048666667,9,5,3,0,4.7,3.10E-14
0.090711111,9,5,3,0,4.7,1.33E-13
0.15097481,9,5,3,0,4.7,1.06E-12
0.23735279,9,5,3,0,4.7,1.99E-11
0.33735279,9,5,3,0,4.7,5.54E-10
0.43735279,9,5,3,0,4.7,1.32E-08
0.53735279,9,5,3,0,4.7,1.93E-07
0.63735279,9,5,3,0,4.7,8.81E-07
0.73735279,9,5,3,0,4.7,1.75E-06
0.83735279,9,5,3,0,4.7,2.87E-06
0.93735279,9,5,3,0,4.7,4.16E-06
1.0373528,9,5,3,0,4.7,5.43E-06
1.1373528,9,5,3,0,4.7,6.49E-06
1.2373528,9,5,3,0,4.7,7.21E-06
1.3373528,9,5,3,0,4.7,7.63E-06
1.4373528,9,5,3,0,4.7,7.87E-06
1.5373528,9,5,3,0,4.7,8.02E-06
1.6373528,9,5,3,0,4.7,8.12E-06
1.7373528,9,5,3,0,4.7,8.19E-06
1.8373528,9,5,3,0,4.7,8.24E-06
1.9373528,9,5,3,0,4.7,8.27E-06
2,9,5,3,0,4.7,8.29E-06
0,9,5,3,0,4.9,1.91E-19
0.02,9,5,3,0,4.9,2.20E-18
0.048,9,5,3,0,4.9,4.72E-18
0.0872,9,5,3,0,4.9,1.70E-16
0.14338667,9,5,3,0,4.9,3.50E-16
0.222048,9,5,3,0,4.9,1.24E-14
0.322048,9,5,3,0,4.9,3.92E-13
0.422048,9,5,3,0,4.9,1.19E-11
0.522048,9,5,3,0,4.9,3.35E-10
0.622048,9,5,3,0,4.9,8.24E-09
0.722048,9,5,3,0,4.9,1.36E-07
0.822048,9,5,3,0,4.9,7.62E-07
0.922048,9,5,3,0,4.9,1.60E-06
1.022048,9,5,3,0,4.9,2.69E-06
1.122048,9,5,3,0,4.9,3.95E-06
1.222048,9,5,3,0,4.9,5.25E-06
1.322048,9,5,3,0,4.9,6.35E-06
1.422048,9,5,3,0,4.9,7.12E-06
1.522048,9,5,3,0,4.9,7.58E-06
1.622048,9,5,3,0,4.9,7.84E-06
1.722048,9,5,3,0,4.9,8.00E-06
1.822048,9,5,3,0,4.9,8.11E-06
1.922048,9,5,3,0,4.9,8.18E-06
2,9,5,3,0,4.9,8.22E-06
0,8,5,3,0,4.3,4.14E-09
0.02,8,5,3,0,4.3,7.74E-09
0.046666667,8,5,3,0,4.3,1.74E-08
0.084,8,5,3,0,4.3,5.09E-08
0.13626667,8,5,3,0,4.3,1.88E-07
0.20944,8,5,3,0,4.3,6.65E-07
0.30944,8,5,3,0,4.3,1.49E-06
0.40944,8,5,3,0,4.3,2.54E-06
0.50944,8,5,3,0,4.3,3.79E-06
0.60944,8,5,3,0,4.3,5.09E-06
0.70944,8,5,3,0,4.3,6.23E-06
0.80944,8,5,3,0,4.3,7.04E-06
0.90944,8,5,3,0,4.3,7.53E-06
1.00944,8,5,3,0,4.3,7.82E-06
1.10944,8,5,3,0,4.3,7.99E-06
1.20944,8,5,3,0,4.3,8.10E-06
1.30944,8,5,3,0,4.3,8.18E-06
1.40944,8,5,3,0,4.3,8.23E-06
1.50944,8,5,3,0,4.3,8.26E-06
1.60944,8,5,3,0,4.3,8.29E-06
1.70944,8,5,3,0,4.3,8.31E-06
1.80944,8,5,3,0,4.3,8.32E-06
1.90944,8,5,3,0,4.3,8.32E-06
1.95472,8,5,3,0,4.3,8.32E-06
2,8,5,3,0,4.3,8.32E-06
0,8,5,3,0,4.5,5.63E-12
0.02,8,5,3,0,4.5,1.11E-11
0.047333333,8,5,3,0,4.5,2.79E-11
0.086511111,8,5,3,0,4.5,1.03E-10
0.14266593,8,5,3,0,4.5,6.58E-10
0.22128267,8,5,3,0,4.5,8.05E-09
0.32128267,8,5,3,0,4.5,1.33E-07
0.42128267,8,5,3,0,4.5,7.56E-07
0.52128267,8,5,3,0,4.5,1.60E-06
0.62128267,8,5,3,0,4.5,2.68E-06
0.72128267,8,5,3,0,4.5,3.94E-06
0.82128267,8,5,3,0,4.5,5.24E-06
0.92128267,8,5,3,0,4.5,6.35E-06
1.0212827,8,5,3,0,4.5,7.12E-06
1.1212827,8,5,3,0,4.5,7.58E-06
1.2212827,8,5,3,0,4.5,7.84E-06
1.3212827,8,5,3,0,4.5,8.00E-06
1.4212827,8,5,3,0,4.5,8.11E-06
1.5212827,8,5,3,0,4.5,8.18E-06
1.6212827,8,5,3,0,4.5,8.23E-06
1.7212827,8,5,3,0,4.5,8.27E-06
1.8212827,8,5,3,0,4.5,8.29E-06
1.9212827,8,5,3,0,4.5,8.31E-06
2,8,5,3,0,4.5,8.32E-06
0,8,5,3,0,4.7,5.71E-15
0.02,8,5,3,0,4.7,1.15E-14
0.048666667,8,5,3,0,4.7,3.10E-14
0.090711111,8,5,3,0,4.7,1.33E-13
0.15097481,8,5,3,0,4.7,1.06E-12
0.23735279,8,5,3,0,4.7,1.99E-11
0.33735279,8,5,3,0,4.7,5.54E-10
0.43735279,8,5,3,0,4.7,1.32E-08
0.53735279,8,5,3,0,4.7,1.93E-07
0.63735279,8,5,3,0,4.7,8.81E-07
0.73735279,8,5,3,0,4.7,1.75E-06
0.83735279,8,5,3,0,4.7,2.87E-06
0.93735279,8,5,3,0,4.7,4.16E-06
1.0373528,8,5,3,0,4.7,5.43E-06
1.1373528,8,5,3,0,4.7,6.49E-06
1.2373528,8,5,3,0,4.7,7.21E-06
1.3373528,8,5,3,0,4.7,7.63E-06
1.4373528,8,5,3,0,4.7,7.87E-06
1.5373528,8,5,3,0,4.7,8.02E-06
1.6373528,8,5,3,0,4.7,8.12E-06
1.7373528,8,5,3,0,4.7,8.19E-06
1.8373528,8,5,3,0,4.7,8.24E-06
1.9373528,8,5,3,0,4.7,8.27E-06
2,8,5,3,0,4.7,8.29E-06
0,8,5,3,0,4.9,1.91E-19
0.02,8,5,3,0,4.9,2.20E-18
0.048,8,5,3,0,4.9,4.72E-18
0.0872,8,5,3,0,4.9,1.70E-16
0.14338667,8,5,3,0,4.9,3.50E-16
0.222048,8,5,3,0,4.9,1.24E-14
0.322048,8,5,3,0,4.9,3.92E-13
0.422048,8,5,3,0,4.9,1.19E-11
0.522048,8,5,3,0,4.9,3.35E-10
0.622048,8,5,3,0,4.9,8.24E-09
0.722048,8,5,3,0,4.9,1.36E-07
0.822048,8,5,3,0,4.9,7.62E-07
0.922048,8,5,3,0,4.9,1.60E-06
1.022048,8,5,3,0,4.9,2.69E-06
1.122048,8,5,3,0,4.9,3.95E-06
1.222048,8,5,3,0,4.9,5.25E-06
1.322048,8,5,3,0,4.9,6.35E-06
1.422048,8,5,3,0,4.9,7.12E-06
1.522048,8,5,3,0,4.9,7.58E-06
1.622048,8,5,3,0,4.9,7.84E-06
1.722048,8,5,3,0,4.9,8.00E-06
1.822048,8,5,3,0,4.9,8.11E-06
1.922048,8,5,3,0,4.9,8.18E-06
2,8,5,3,0,4.9,8.22E-06
0,7,5,3,0,4.3,4.14E-09
0.02,7,5,3,0,4.3,7.74E-09
0.046666667,7,5,3,0,4.3,1.74E-08
0.084,7,5,3,0,4.3,5.09E-08
0.13626667,7,5,3,0,4.3,1.88E-07
0.20944,7,5,3,0,4.3,6.65E-07
0.30944,7,5,3,0,4.3,1.49E-06
0.40944,7,5,3,0,4.3,2.54E-06
0.50944,7,5,3,0,4.3,3.79E-06
0.60944,7,5,3,0,4.3,5.09E-06
0.70944,7,5,3,0,4.3,6.23E-06
0.80944,7,5,3,0,4.3,7.04E-06
0.90944,7,5,3,0,4.3,7.53E-06
1.00944,7,5,3,0,4.3,7.82E-06
1.10944,7,5,3,0,4.3,7.99E-06
1.20944,7,5,3,0,4.3,8.10E-06
1.30944,7,5,3,0,4.3,8.18E-06
1.40944,7,5,3,0,4.3,8.23E-06
1.50944,7,5,3,0,4.3,8.26E-06
1.60944,7,5,3,0,4.3,8.29E-06
1.70944,7,5,3,0,4.3,8.31E-06
1.80944,7,5,3,0,4.3,8.32E-06
1.90944,7,5,3,0,4.3,8.32E-06
1.95472,7,5,3,0,4.3,8.32E-06
2,7,5,3,0,4.3,8.32E-06
0,7,5,3,0,4.5,5.63E-12
0.02,7,5,3,0,4.5,1.11E-11
0.047333333,7,5,3,0,4.5,2.79E-11
0.086511111,7,5,3,0,4.5,1.03E-10
0.14266593,7,5,3,0,4.5,6.58E-10
0.22128267,7,5,3,0,4.5,8.05E-09
0.32128267,7,5,3,0,4.5,1.33E-07
0.42128267,7,5,3,0,4.5,7.56E-07
0.52128267,7,5,3,0,4.5,1.60E-06
0.62128267,7,5,3,0,4.5,2.68E-06
0.72128267,7,5,3,0,4.5,3.94E-06
0.82128267,7,5,3,0,4.5,5.24E-06
0.92128267,7,5,3,0,4.5,6.35E-06
1.0212827,7,5,3,0,4.5,7.12E-06
1.1212827,7,5,3,0,4.5,7.58E-06
1.2212827,7,5,3,0,4.5,7.84E-06
1.3212827,7,5,3,0,4.5,8.00E-06
1.4212827,7,5,3,0,4.5,8.11E-06
1.5212827,7,5,3,0,4.5,8.18E-06
1.6212827,7,5,3,0,4.5,8.23E-06
1.7212827,7,5,3,0,4.5,8.27E-06
1.8212827,7,5,3,0,4.5,8.29E-06
1.9212827,7,5,3,0,4.5,8.31E-06
2,7,5,3,0,4.5,8.32E-06
0,7,5,3,0,4.7,5.71E-15
0.02,7,5,3,0,4.7,1.15E-14
0.048666667,7,5,3,0,4.7,3.10E-14
0.090711111,7,5,3,0,4.7,1.33E-13
0.15097481,7,5,3,0,4.7,1.06E-12
0.23735279,7,5,3,0,4.7,1.99E-11
0.33735279,7,5,3,0,4.7,5.54E-10
0.43735279,7,5,3,0,4.7,1.32E-08
0.53735279,7,5,3,0,4.7,1.93E-07
0.63735279,7,5,3,0,4.7,8.81E-07
0.73735279,7,5,3,0,4.7,1.75E-06
0.83735279,7,5,3,0,4.7,2.87E-06
0.93735279,7,5,3,0,4.7,4.16E-06
1.0373528,7,5,3,0,4.7,5.43E-06
1.1373528,7,5,3,0,4.7,6.49E-06
1.2373528,7,5,3,0,4.7,7.21E-06
1.3373528,7,5,3,0,4.7,7.63E-06
1.4373528,7,5,3,0,4.7,7.87E-06
1.5373528,7,5,3,0,4.7,8.02E-06
1.6373528,7,5,3,0,4.7,8.12E-06
1.7373528,7,5,3,0,4.7,8.19E-06
1.8373528,7,5,3,0,4.7,8.24E-06
1.9373528,7,5,3,0,4.7,8.27E-06
2,7,5,3,0,4.7,8.29E-06
0,7,5,3,0,4.9,1.91E-19
0.02,7,5,3,0,4.9,2.20E-18
0.048,7,5,3,0,4.9,4.72E-18
0.0872,7,5,3,0,4.9,1.70E-16
0.14338667,7,5,3,0,4.9,3.50E-16
0.222048,7,5,3,0,4.9,1.24E-14
0.322048,7,5,3,0,4.9,3.92E-13
0.422048,7,5,3,0,4.9,1.19E-11
0.522048,7,5,3,0,4.9,3.35E-10
0.622048,7,5,3,0,4.9,8.24E-09
0.722048,7,5,3,0,4.9,1.36E-07
0.822048,7,5,3,0,4.9,7.62E-07
0.922048,7,5,3,0,4.9,1.60E-06
1.022048,7,5,3,0,4.9,2.69E-06
1.122048,7,5,3,0,4.9,3.95E-06
1.222048,7,5,3,0,4.9,5.25E-06
1.322048,7,5,3,0,4.9,6.35E-06
1.422048,7,5,3,0,4.9,7.12E-06
1.522048,7,5,3,0,4.9,7.58E-06
1.622048,7,5,3,0,4.9,7.84E-06
1.722048,7,5,3,0,4.9,8.00E-06
1.822048,7,5,3,0,4.9,8.11E-06
1.922048,7,5,3,0,4.9,8.18E-06
2,7,5,3,0,4.9,8.22E-06
0,9,6,3,0,4.3,9.67E-09
0.02,9,6,3,0,4.3,1.71E-08
0.046666667,9,6,3,0,4.3,3.53E-08
0.084,9,6,3,0,4.3,8.98E-08
0.13626667,9,6,3,0,4.3,2.66E-07
0.20944,9,6,3,0,4.3,7.31E-07
0.30700444,9,6,3,0,4.3,1.44E-06
0.40700444,9,6,3,0,4.3,2.36E-06
0.50700444,9,6,3,0,4.3,3.44E-06
0.60700444,9,6,3,0,4.3,4.60E-06
0.70700444,9,6,3,0,4.3,5.70E-06
0.80700444,9,6,3,0,4.3,6.62E-06
0.90700444,9,6,3,0,4.3,7.25E-06
1.0070044,9,6,3,0,4.3,7.64E-06
1.1070044,9,6,3,0,4.3,7.87E-06
1.2070044,9,6,3,0,4.3,8.02E-06
1.3070044,9,6,3,0,4.3,8.12E-06
1.4070044,9,6,3,0,4.3,8.19E-06
1.5070044,9,6,3,0,4.3,8.23E-06
1.6070044,9,6,3,0,4.3,8.27E-06
1.7070044,9,6,3,0,4.3,8.29E-06
1.8070044,9,6,3,0,4.3,8.31E-06
1.9070044,9,6,3,0,4.3,8.32E-06
2,9,6,3,0,4.3,8.32E-06
0,9,6,3,0,4.5,1.98E-11
0.02,9,6,3,0,4.5,3.77E-11
0.046666667,9,6,3,0,4.5,8.83E-11
0.084888889,9,6,3,0,4.5,2.96E-10
0.13967407,9,6,3,0,4.5,1.61E-09
0.21637333,9,6,3,0,4.5,1.54E-08
0.31637333,9,6,3,0,4.5,1.82E-07
0.41637333,9,6,3,0,4.5,7.78E-07
0.51637333,9,6,3,0,4.5,1.52E-06
0.61637333,9,6,3,0,4.5,2.46E-06
0.71637333,9,6,3,0,4.5,3.55E-06
0.81637333,9,6,3,0,4.5,4.70E-06
0.91637333,9,6,3,0,4.5,5.80E-06
1.0163733,9,6,3,0,4.5,6.69E-06
1.1163733,9,6,3,0,4.5,7.29E-06
1.2163733,9,6,3,0,4.5,7.66E-06
